City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
279,Odweyne,SO,74.55,broken clouds,9.4092,45.06399999999999,Eng Hiirey House
281,Laguna,US,73.0,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
284,Tuy Hoa,VN,77.07,few clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
286,Fulton,US,79.0,clear sky,33.7668,-84.4499,Gorgeous City Home!!! Sleeps 10!!
294,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
297,Conceicao Do Araguaia,BR,82.4,few clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
298,Faro,PT,66.2,clear sky,37.0194,-7.9322,Hotel Faro & Beach Club
300,Tura,IN,71.38,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
301,Mantua,IT,62.01,moderate rain,45.1667,10.7833,Hotel la Favorita
302,Katsuura,JP,64.0,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
303,Basco,PH,79.29,few clouds,20.4487,121.9702,Nathaniel's Lodge
304,Canals,ES,66.99,broken clouds,38.9625,-0.5844,Hostal Casa La Vuelta
305,Jabinyanah,TN,78.8,scattered clouds,35.035,10.9081,maison belmabrouk
306,Esmeraldas,BR,75.2,broken clouds,-19.7625,-44.3139,Forasteiro Pousada - Hotel
307,Mount Gambier,AU,64.4,overcast clouds,-37.8333,140.7667,Commodore on the Park
309,Mana,GF,81.5,overcast clouds,5.6592,-53.7767,LE SAMANA
310,San Juan De Los Morros,VE,86.27,broken clouds,9.9115,-67.3538,Hotel La Montaña
312,Mafra,BR,61.0,scattered clouds,-26.1114,-49.8053,Hotel Emacite Flex
313,Salalah,OM,84.2,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
315,Paita,PE,87.8,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
316,Port Hedland,AU,69.8,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
317,Oriximina,BR,82.15,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
318,Anloga,GH,84.2,few clouds,5.7947,0.8973,Pin Drop Hotel
319,Pasaje,EC,82.4,light rain,-3.3333,-79.8167,Finca Huaylala
320,Sao Filipe,CV,72.79,clear sky,14.8961,-24.4956,Tortuga B&B
322,Puerto Ayacucho,VE,85.32,scattered clouds,5.6639,-67.6236,Posada Turistica Manapiare
325,Saint-Joseph,RE,75.2,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
326,Umm Lajj,SA,85.26,clear sky,25.0213,37.2685,Moon light Furnished Units
327,Loreto,MX,79.57,clear sky,22.2667,-101.9667,José de Jesús Velásquez mora
328,Riyadh,SA,89.6,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
330,Rajampet,IN,80.6,clear sky,14.1833,79.1667,Maruthi Prasanna
331,Moranbah,AU,61.47,overcast clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
332,Soyo,AO,78.06,overcast clouds,-6.1349,12.3689,Hotel Mpampa
333,Benidorm,ES,68.0,overcast clouds,38.5382,-0.131,Medplaya Hotel Flamingo Oasis
334,Necochea,AR,73.0,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
338,Presidente Olegario,BR,73.99,overcast clouds,-18.4178,-46.4181,Cruzeiro Hotel
339,Muros,ES,60.01,clear sky,42.7762,-9.0603,Apartment Av. Castelao
342,Ambilobe,MG,74.41,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
