City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
91,Tenenkou,ML,14.4572,-4.9169,98.94,22,66,12.55,broken clouds
92,Port Alfred,ZA,-33.5906,26.891,62.01,67,0,1.99,clear sky
93,Hervey Bay,AU,-25.2986,152.8535,69.01,94,34,8.05,scattered clouds
94,Arraial Do Cabo,BR,-22.9661,-42.0278,73.4,73,75,6.91,broken clouds
95,Kargasok,RU,59.0556,80.8572,35.78,82,92,14.45,overcast clouds
96,Lorengau,PG,-2.0226,147.2712,79.47,82,76,2.1,broken clouds
97,Ribeira Grande,PT,38.5167,-28.7,62.6,94,75,19.57,broken clouds
98,Mahibadhoo,MV,3.7833,72.9667,83.97,65,10,4.79,clear sky
99,Tautira,PF,-17.7333,-149.15,82.4,69,40,8.05,scattered clouds
100,Berlevag,NO,70.8578,29.0864,33.85,83,100,22.37,light snow
101,Port Blair,IN,11.6667,92.75,83.19,75,90,5.61,overcast clouds
102,Lethem,GY,3.3803,-59.7968,89.82,52,87,5.82,overcast clouds
103,Korla,CN,41.7597,86.1469,68.9,20,29,16.28,scattered clouds
104,Bilibino,RU,68.0546,166.4372,-2.36,88,42,4.21,scattered clouds
105,Lasem,ID,-6.6922,111.4527,78.55,87,100,5.73,overcast clouds
106,Kapaa,US,22.0752,-159.319,77.0,78,20,11.5,few clouds
107,Lahaina,US,20.8783,-156.6825,75.2,73,20,13.8,few clouds
108,Port Moresby,PG,-9.4431,147.1797,73.4,94,20,3.44,few clouds
109,Chokurdakh,RU,70.6333,147.9167,-0.9,100,60,3.69,broken clouds
110,Cedar City,US,37.6775,-113.0619,78.8,8,1,25.32,clear sky
111,Qaqortoq,GL,60.7167,-46.0333,51.8,20,2,35.68,clear sky
112,Chabahar,IR,25.2919,60.643,83.32,70,2,9.78,clear sky
113,Swellendam,ZA,-34.0226,20.4417,50.0,93,0,2.3,clear sky
114,Manzanillo,CU,20.3433,-77.1167,90.27,41,75,10.8,broken clouds
115,Saint Anthony,US,45.0205,-93.218,82.99,29,1,10.36,clear sky
116,Sinop,TR,41.7711,34.8709,60.19,64,83,3.58,broken clouds
117,Uyutne,UA,45.1994,33.3014,59.0,59,86,4.79,overcast clouds
118,Avarua,CK,-21.2078,-159.775,78.8,73,75,6.91,broken clouds
119,Mangrol,IN,21.1167,70.1167,82.26,80,41,8.46,scattered clouds
120,College,US,64.8569,-147.8028,35.01,51,75,2.91,broken clouds
121,Ponta Do Sol,PT,32.6667,-17.1,63.0,60,71,5.01,broken clouds
122,Waverley,ZA,-25.7023,28.2591,57.2,67,64,16.11,broken clouds
123,Butaritari,KI,3.0707,172.7902,82.36,76,100,10.69,overcast clouds
124,Yemtsa,RU,63.0734,40.3329,27.64,75,83,6.82,broken clouds
125,Yining,CN,29.0361,114.5636,69.84,88,0,1.68,clear sky
126,San Cristobal,VE,7.7669,-72.225,84.2,65,40,8.05,scattered clouds
127,Nanortalik,GL,60.1432,-45.2371,41.04,54,19,11.95,few clouds
128,Grindavik,IS,63.8424,-22.4338,44.6,53,40,14.97,scattered clouds
129,Daru,PG,-9.0763,143.2092,77.68,86,35,11.5,scattered clouds
